perturbation_id,gene,type,factor,rescue_score,rescue_score_cosine,moves_toward_healthy,moves_toward_healthy_cosine,pct_cells_improved,centroid_shift,cosine_shift,mean_cell_shift,neighborhood_preservation
KD_MAP1B_0.2_ALS,MAP1B,knock_down,0.2,0.0131194835196198,0.0005462975752507,False,False,26.0,0.0416531739631273,0.0015009143938593,0.0913095158071261,0.79
KD_MAP1B_0.5_ALS,MAP1B,knock_down,0.5,-0.0001669524562694,4.586395041417113e-06,True,False,26.0,0.0270308992094144,0.0006139595404213,0.0679402715782946,0.8540000000000001
KD_KHDRBS2_0.2_ALS,KHDRBS2,knock_down,0.2,0.0064036694723622,0.0001645659181093,False,False,18.0,0.0323077392213974,0.0007739641867529,0.0658184810857942,0.8119999999999998
KD_KHDRBS2_0.5_ALS,KHDRBS2,knock_down,0.5,-0.002889283526914,-6.494729046002679e-05,True,True,18.0,0.0120969451687126,0.0001317998418188,0.0395764598891445,0.9
KD_DMD_0.2_ALS,DMD,knock_down,0.2,0.0259692585504668,0.0012464131458093,False,False,22.0,0.0546686270010038,0.0024423026029251,0.1020478043226627,0.762
KD_DMD_0.5_ALS,DMD,knock_down,0.5,0.0004346264075668,3.4276495712637356e-05,False,False,28.000000000000004,0.0184195317527432,0.0003046705371961,0.0760943412966187,0.8539999999999999
KU_MAP1B_2.0_ALS,MAP1B,knock_up,2.0,0.0077016221123307,0.0003123173522243,False,False,22.0,0.0206086563535458,0.0003552590852573,0.0587714374537746,0.856
KU_MAP1B_3.0_ALS,MAP1B,knock_up,3.0,0.010520229574246,0.0004241666580873,False,False,22.0,0.0208000652377348,0.0004008428903983,0.075863706268826,0.868
KU_KHDRBS2_2.0_ALS,KHDRBS2,knock_up,2.0,0.0004727989432717,3.503404863591797e-05,False,False,14.000000000000002,0.0205568310852221,0.0003539628515597,0.0620836593259102,0.85
KU_KHDRBS2_3.0_ALS,KHDRBS2,knock_up,3.0,0.0018403508712038,5.681945341273753e-05,False,False,10.0,0.0230375798811378,0.000400641781195,0.0721550867130484,0.8459999999999998
KU_DMD_2.0_ALS,DMD,knock_up,2.0,0.0023149962607961,9.885029410428016e-05,False,False,26.0,0.0202012145838897,0.0003567714600255,0.0722786465423875,0.8340000000000001
KU_DMD_3.0_ALS,DMD,knock_up,3.0,0.0047182610795663,0.0001860103065821,False,False,24.0,0.0217557267974897,0.0004011850502463,0.0895802093356683,0.7959999999999999
